7;27;110.00;barb001;NULL;2;5;Brun;Aramis ;Lorem ipsum dolor sit amet, consectetur adipiscing elit. In porttitor sit amet ipsum sit amet dapibus. Cras suscipit neque ac magna sagittis lobortis. Duis venenatis enim ac nisl luctus, a scelerisque velit porttitor. Integer nec massa quis urna mollis consectetur et et nisl. Nullam eget nunc vitae nisl convallis faucibus. Vestibulum dapibus, metus nec molestie lobortis, nunc sem mollis tortor, et auctor dolor nunc at nisi. Pellentesque sit amet turpis nisi. ;0;4;2018-04-18 00:00:00;2018-11-14 00:00:00;jpg
8;27;249.99;barb002;NULL;0;5;Noir;Athos;Cu'rabitur pellentesque posuere luctus. Sed et risus vel quam pharetra pretium non quis odio. Praesent varius risus vel orci ultrices tincidunt.;0;4;2016-06-14 00:00:00;NULL;jpg
10;2;14.99;SEC-B;NULL;16;5;Rouge;Red;Phasellus ac gravida lorem. Aliquam sed aliquam nisl. Etiam non ornare sapien. Aenean ut tellus non risus varius bibendum quis vel ligula.;0;3;2018-08-05 00:00:00;NULL;jpg
11;27;135.90;barb003;NULL;10;5;Chrome;Clatronic;Fusce rutrum odio sem, quis finibus nisl finibus a. Praesent dictum ex in lectus porta, vitae varius lacus eleifend. Sed sed lacinia mi, sed egestas odio. Integer a congue lectus.;0;4;2017-10-18 00:00:00;2018-08-23 00:00:00;jpg
12;27;88.00;barb004;NULL;5;5;Noir;Camping;Phasellus auctor mattis justo, in semper urna congue eget. Nunc sit amet nunc sed dui fringilla scelerisque a eget sem. Aenean cursus eros vehicula arcu blandit, sit amet faucibus leo finibus. Duis pharetra felis eget viverra tempor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas;1;4;2018-08-20 00:00:00;NULL;jpg
13;13;49.00;brou001;NULL;25;5;Verte;Green;Fusce interdum ex justo, vel imperdiet erat volutpat non. Donec et maximus lacus. ;0;2;2018-08-01 00:00:00;NULL;jpg
14;13;88.00;brou002;NULL;0;5;Argent;Silver;Pellentesque ultrices vestibulum sagittis.;1;2;2018-08-09 00:00:00;2018-08-22 00:00:00;jpg
15;13;54.49;brou003;NULL;3;5;Jaune;Yellow;Sed lobortis pulvinar orci, ut efficitur urna egestas eu.;0;2;2018-08-12 00:00:00;NULL;jpg
16;2;19.90;GA410;NULL;50;5;Gris;Bêche GA 410;Nulla at consequat orci.;0;2;2018-08-13 00:00:00;NULL;png
17;2;24.90;beche002;NULL;1;5;Argent;Bêche GA 388;Curabitur varius interdum nulla, sit amet consequat massa. Vestibulum rutrum leo lectus. Phasellus sit amet viverra velit.;0;2;2018-03-15 00:00:00;NULL;png
18;2;31.19;scm0555;NULL;0;5;Bleue;Scie à main SCM0555;Pellentesque fermentum ut est sagittis feugiat. Morbi in turpis augue. Maecenas dapibus ligula velit, ac gravida risus imperdiet in.;0;2;2018-08-19 00:00:00;NULL;png
19;2;14.90;scm559;NULL;4;5;Bleu;Scie couteau;raesent ante felis, iaculis vitae lectus sed, luctus laoreet metus. Aenean mattis egestas eleifend. Morbi dictum erat ut lorem porta, a volutpat nibh ultrices. Nunc ut tortor ac velit fringilla dictum at non nulla.;0;2;2018-04-13 00:00:00;NULL;png
20;2;31.19;h0662;NULL;0;5;Noir;Hache H062;Cras nec dapibus erat. Cras bibendum auctor dui quis tristique.;0;2;2018-08-12 00:00:00;NULL;png
21;11;599.99;DB0703;NULL;4;5;Bleue;Titan;Etiam eu sem ligula. Donec aliquet velit a condimentum sagittis. Nullam ipsum augue, porta non vestibulum cursus, eleifend tempor erat. Proin et turpis molestie augue mollis laoreet. Nulla lorem tellus, pellentesque nec hendrerit vehicula, consectetur non nisl. Maecenas eget accumsan lectus. Vivamus eleifend lorem scelerisque augue rutrum laoreet. ;0;3;1999-08-26 00:00:00;NULL;png
22;11;499.99;DB0755;NULL;0;5;Bleue;Attila;Là où passe Attila, l'herbe ne repousse pas.;0;3;2018-05-16 00:00:00;NULL;png
